Code,University ,Code of university,City,Address
5B011900,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B012000,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B012100,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B012300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B013000,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B020200,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B020300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B020500,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B020700,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B021000,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B021020,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B030100,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B030200,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B040900,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B041300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B041400,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B041700,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B042100,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B050300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B050500,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B050700,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
